[info][/Users/luhaoyu/GoRedis/server/handler.go:27]2024/01/05 21:19:46 [Close connection:  127.0.0.1:56600]
[info][/Users/luhaoyu/GoRedis/server/handler.go:27]2024/01/05 21:19:46 [Close connection:  127.0.0.1:56602]
[info][/Users/luhaoyu/GoRedis/server/handler.go:27]2024/01/05 21:19:46 [Close connection:  127.0.0.1:56611]
[info][/Users/luhaoyu/GoRedis/server/handler.go:27]2024/01/05 21:19:46 [Close connection:  127.0.0.1:56601]
[info][/Users/luhaoyu/GoRedis/server/handler.go:27]2024/01/05 21:19:46 [Close connection:  127.0.0.1:56603]
[info][/Users/luhaoyu/GoRedis/server/handler.go:27]2024/01/05 21:19:46 [Close connection:  127.0.0.1:56605]
[info][/Users/luhaoyu/GoRedis/server/handler.go:27]2024/01/05 21:19:46 [Close connection:  127.0.0.1:56621]
[info][/Users/luhaoyu/GoRedis/server/handler.go:27]2024/01/05 21:19:46 [Close connection:  127.0.0.1:56636]
[info][/Users/luhaoyu/GoRedis/server/handler.go:27]2024/01/05 21:19:46 [Close connection:  127.0.0.1:56639]
[info][/Users/luhaoyu/GoRedis/server/handler.go:27]2024/01/05 21:19:46 [Close connection:  127.0.0.1:56604]
[info][/Users/luhaoyu/GoRedis/server/handler.go:27]2024/01/05 21:19:46 [Close connection:  127.0.0.1:56606]
[info][/Users/luhaoyu/GoRedis/server/handler.go:27]2024/01/05 21:19:46 [Close connection:  127.0.0.1:56607]
[info][/Users/luhaoyu/GoRedis/server/handler.go:27]2024/01/05 21:19:46 [Close connection:  127.0.0.1:56609]
[info][/Users/luhaoyu/GoRedis/server/handler.go:27]2024/01/05 21:19:46 [Close connection:  127.0.0.1:56608]
[info][/Users/luhaoyu/GoRedis/server/handler.go:27]2024/01/05 21:19:46 [Close connection:  127.0.0.1:56610]
[info][/Users/luhaoyu/GoRedis/server/handler.go:27]2024/01/05 21:19:46 [Close connection:  127.0.0.1:56612]
[info][/Users/luhaoyu/GoRedis/server/handler.go:27]2024/01/05 21:19:46 [Close connection:  127.0.0.1:56614]
[info][/Users/luhaoyu/GoRedis/server/handler.go:27]2024/01/05 21:19:46 [Close connection:  127.0.0.1:56613]
[info][/Users/luhaoyu/GoRedis/server/handler.go:27]2024/01/05 21:19:46 [Close connection:  127.0.0.1:56616]
[info][/Users/luhaoyu/GoRedis/server/handler.go:27]2024/01/05 21:19:46 [Close connection:  127.0.0.1:56618]
[info][/Users/luhaoyu/GoRedis/server/handler.go:27]2024/01/05 21:19:46 [Close connection:  127.0.0.1:56617]
[info][/Users/luhaoyu/GoRedis/server/handler.go:27]2024/01/05 21:19:46 [Close connection:  127.0.0.1:56619]
[info][/Users/luhaoyu/GoRedis/server/handler.go:27]2024/01/05 21:19:46 [Close connection:  127.0.0.1:56620]
[info][/Users/luhaoyu/GoRedis/server/handler.go:27]2024/01/05 21:19:46 [Close connection:  127.0.0.1:56615]
[info][/Users/luhaoyu/GoRedis/server/handler.go:27]2024/01/05 21:19:46 [Close connection:  127.0.0.1:56622]
[info][/Users/luhaoyu/GoRedis/server/handler.go:27]2024/01/05 21:19:46 [Close connection:  127.0.0.1:56623]
[info][/Users/luhaoyu/GoRedis/server/handler.go:27]2024/01/05 21:19:46 [Close connection:  127.0.0.1:56626]
[info][/Users/luhaoyu/GoRedis/server/handler.go:27]2024/01/05 21:19:46 [Close connection:  127.0.0.1:56625]
[info][/Users/luhaoyu/GoRedis/server/handler.go:27]2024/01/05 21:19:46 [Close connection:  127.0.0.1:56628]
[info][/Users/luhaoyu/GoRedis/server/server.go:64]2024/01/05 21:19:46 [127.0.0.1:56651  connected]
[info][/Users/luhaoyu/GoRedis/server/server.go:64]2024/01/05 21:19:46 [127.0.0.1:56652  connected]
[info][/Users/luhaoyu/GoRedis/server/handler.go:27]2024/01/05 21:19:46 [Close connection:  127.0.0.1:56627]
[info][/Users/luhaoyu/GoRedis/server/handler.go:27]2024/01/05 21:19:46 [Close connection:  127.0.0.1:56624]
[info][/Users/luhaoyu/GoRedis/server/server.go:64]2024/01/05 21:19:46 [127.0.0.1:56653  connected]
[info][/Users/luhaoyu/GoRedis/server/server.go:64]2024/01/05 21:19:46 [127.0.0.1:56654  connected]
[info][/Users/luhaoyu/GoRedis/server/handler.go:27]2024/01/05 21:19:46 [Close connection:  127.0.0.1:56629]
[info][/Users/luhaoyu/GoRedis/server/handler.go:27]2024/01/05 21:19:46 [Close connection:  127.0.0.1:56633]
[info][/Users/luhaoyu/GoRedis/server/server.go:64]2024/01/05 21:19:46 [127.0.0.1:56655  connected]
[info][/Users/luhaoyu/GoRedis/server/server.go:64]2024/01/05 21:19:46 [127.0.0.1:56656  connected]
[info][/Users/luhaoyu/GoRedis/server/handler.go:27]2024/01/05 21:19:46 [Close connection:  127.0.0.1:56634]
[info][/Users/luhaoyu/GoRedis/server/server.go:64]2024/01/05 21:19:46 [127.0.0.1:56657  connected]
[info][/Users/luhaoyu/GoRedis/server/server.go:64]2024/01/05 21:19:46 [127.0.0.1:56658  connected]
[info][/Users/luhaoyu/GoRedis/server/handler.go:27]2024/01/05 21:19:46 [Close connection:  127.0.0.1:56635]
[info][/Users/luhaoyu/GoRedis/server/handler.go:27]2024/01/05 21:19:46 [Close connection:  127.0.0.1:56638]
[info][/Users/luhaoyu/GoRedis/server/handler.go:27]2024/01/05 21:19:46 [Close connection:  127.0.0.1:56637]
[info][/Users/luhaoyu/GoRedis/server/handler.go:27]2024/01/05 21:19:46 [Close connection:  127.0.0.1:56641]
[info][/Users/luhaoyu/GoRedis/server/handler.go:27]2024/01/05 21:19:46 [Close connection:  127.0.0.1:56640]
[info][/Users/luhaoyu/GoRedis/server/handler.go:27]2024/01/05 21:19:46 [Close connection:  127.0.0.1:56643]
[info][/Users/luhaoyu/GoRedis/server/handler.go:27]2024/01/05 21:19:46 [Close connection:  127.0.0.1:56645]
